Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNMENT   781534","USNMENT00781534","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis lanceolata Boisduval, 1852","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/39416c765-cc19-4028-8fbb-33b61981dcb1"
"USNMENT   781536","USNMENT00781536","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis limonea","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/31d0eabe9-a229-4f8c-9c26-91f8e0bc7f1d"
"USNMENT   781538","USNMENT00781538","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis midea","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/371ea0512-ac6c-44e1-a276-fa52c49f9cde"
"USNMENT   781537","USNMENT00781537","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis midea","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3982d2c41-fc36-4ee1-8b61-acbbe429259a"
"USNMENT   781539","USNMENT00781539","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis sara Boisduval, 1852","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 16:38:00","http://n2t.net/ark:/65665/3d3ba9198-333e-47a9-bae8-3f973e331ab8"
"USNMENT   781540","USNMENT00781540","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis sara Boisduval, 1852","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 16:38:00","http://n2t.net/ark:/65665/3b9417a8b-4b4d-4224-be9a-5176e0d557e8"
"USNMENT   781542","USNMENT00781542","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis scolymus","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/349028b7e-2613-4b6b-9d38-11108316e67d"
"USNMENT   781541","USNMENT00781541","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Anthocharis scolymus","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 16:39:00","http://n2t.net/ark:/65665/3dc32799d-9897-4b51-b83b-0b1e4281fe5e"
"USNMENT   781758","USNMENT00781758","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Aoa affinis","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:41:00","http://n2t.net/ark:/65665/3a28c00f2-764e-4237-a982-8ccd2bcf63ee"
"USNMENT   781263","USNMENT00781263","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Aphrissa boisduvalii","","","","1 Adult Female","Pinned","","","","","","","","","","","","",1,"","","","","","","","","20 Mar 2020 16:39:00","http://n2t.net/ark:/65665/3950e162f-e9f5-4ee0-826f-90c32474ddd0"
"USNMENT   781262","USNMENT00781262","Specimen Inventory","Insecta","Lepidoptera","Pieridae","Aphrissa boisduvalii","","","","1 Adult Male","Pinned","","","","","","","","","","","","",1,"","","","","","","","","14 Jul 2016 17:40:00","http://n2t.net/ark:/65665/3cf2a6e73-8efd-4ef8-9c0d-18e0b20cb396"
