TOWN,WMU,MALE,FEMALE,TOTAL,HSM,year
HOLLIS,(M),66,50,116,3.67,2022
HOOKSETT,(K/L),70,23,93,2.59,2022
HOPKINTON,(I1/I2/K),52,26,78,1.89,2022
HUDSON,(M),39,20,59,2.08,2022
JACKSON,(E),9,0,9,0.13,2022
JAFFREY,(H2/K),58,33,91,2.38,2022
JEFFERSON,(C1/D1/E),48,8,56,1.12,2022
KEENE,(H2),34,17,51,1.38,2022
KENSINGTON,(M),40,28,68,5.7,2022
KILKENNY,(C1),1,0,1,0.04,2022
KINGSTON,(M),37,34,71,3.64,2022
LACONIA,(J2),21,11,32,1.61,2022
LANCASTER,(C1/D1),49,13,62,1.24,2022
LANDAFF,(D2E/D2W),34,7,41,1.45,2022
LANGDON,(H1/H2),25,16,41,2.53,2022
LEBANON,(G1/H1),73,55,128,3.19,2022
LEE,(L),46,30,76,3.84,2022
LEMPSTER,(H1/I2),34,16,50,1.55,2022
LINCOLN,(D2E/E/F),1,0,1,0.01,2022
LISBON,(D2W),57,40,97,3.7,2022
LITCHFIELD,(M),12,20,32,2.16,2022
LITTLETON,(D1/D2W),64,23,87,1.74,2022
LONDONDERRY,(M),73,59,132,3.15,2022
LOUDON,(J2),96,40,136,2.95,2022
LYMAN,(D2W),46,38,84,2.96,2022
LYME,(G1),77,58,135,2.51,2022
LYNDEBOROUGH,(K),51,30,81,2.71,2022
MADBURY,(L),55,33,88,7.61,2022
MADISON,(F/J1),36,14,50,1.3,2022
MANCHESTER,(K/L/M),20,15,35,1.07,2022
MARLBOROUGH,(H2),32,18,50,2.45,2022
MARLOW,(H1/H2/I2),23,19,42,1.63,2022
MASON,(K),29,22,51,2.14,2022
MEREDITH,(I1/J2),40,24,64,1.6,2022
MERRIMACK,(M),68,51,119,3.68,2022
MIDDLETON,(J2),21,3,24,1.33,2022
MILAN,(B/C1/C2),25,2,27,0.42,2022
MILFORD,(K/M),26,25,51,2.02,2022
MILLSFIELD,(A/B),12,0,12,0.27,2022
